"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"1","Journal Article","M. B. Harris; W. Tomas; G. Mourao; C. J. Da Silva; E. Guimaraes; F. Sonoda; E. Fachim",2005,"Safeguarding the Pantanal wetlands: Threats and conservation initiatives","Brazil","Latin America & Caribbean","Latin America","Pteronura brasiliensis","","","","","","Livestock farming & ranching","","","Logging & wood harvesting (intentional & unintentional)","","Dams & water management/use","","Invasive non-native/alien species/diseases","","Agriculture & aquaculture","Biological resource use","Natural system modifications","Invasive & other problematic species, genes & diseases",""
"2","SCC","",1999,"The current Status of Vormela peregusna throughout its historical range","Europe","Europe & Central Asia","Europe & Central Asia","Vormela peregusna","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Agricultural & forestry effluents","","Roads & railroads","","Agriculture & aquaculture","Biological resource use","Pollution","Transportation & service corridors",""
"3","Journal Article","R. C. Van Apeldoorn; J. P. Knaapen; P. Schippers; J. Verboom; H. Van Engen; H. Meeuwsen",1998,"Applying ecological knowledge in landscape planning: a simulation model as a tool to evaluate scenarios for the badger in the Netherlands","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","Housing & urban areas","Roads & railroads","","Agriculture & aquaculture","Biological resource use","Residential & commercial development","Transportation & service corridors",""
"4","Book Section","M. Costa; C. Fernandes; M. Santos-Reis",2014,"Ecology and conservation of the polecat Mustela putorius (Linnaeus, 1758) in Portugal: a review","Portugal","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Roads & railroads","","Introduced genetic material","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","Invasive & other problematic species, genes & diseases","Other threats"
"5","Journal Article","C. J. Kyle; R. D. Weir; N. J. Newhouse; H. Davis; C. Strobeck",2004,"Genetic structure of sensitive and endangered northwestern badger populations (Taxidea taxus taxus and T-t. jeffersonii)","USA / Canada","North America","North America","Taxidea taxus","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Roads & railroads","","Housing & urban areas","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","Residential & commercial development","Other threats"
"6","Journal Article","N. M. Schmidt; P. M. Jensen",2003,"Changes in mammalian body length over 175 years - Adaptations to a fragmented landscape?","Europe","Europe & Central Asia","Europe & Central Asia","European sp.","","","","","","Unspecified","","","Logging & wood harvesting (intentional & unintentional)","","Roads & railroads","","","","Agriculture & aquaculture","Biological resource use","Transportation & service corridors","",""
"7","Journal Article","J. R. A. Butler; J. T. Dutoit",1994,"DIET AND CONSERVATION STATUS OF CAPE CLAWLESS OTTERS IN EASTERN ZIMBABWE","Zimbabwe","Sub-Saharan Africa","Sub-Saharan Africa","Aonyx capensis","","","","","","Annual & perennial non-timber crops","","","Logging & wood harvesting (intentional & unintentional)","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","Agriculture & aquaculture","Biological resource use","","",""
"8","Journal Article","S. Kurki; A. Nikula; P. Helle; H. Linden",1998,"Abundances of red fox and pine marten in relation to the composition of boreal forest landscapes","Finland","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Wood & pulp plantations","","","Logging & wood harvesting (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"9","Journal Article","Z. J. Piao; L. N. Tang; R. K. Swihart; S. X. Wang",2011,"Human-wildlife competition for Korean pine seeds: vertebrate responses and implications for mixed forests on Changbai Mountain, China","China","East Asia & Pacific","East Asia","Martes flavigula","Martes zibellina","Mustela sibirica","","","","Wood & pulp plantations","","","Logging & wood harvesting (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"10","Otter Bulletin article","Andreas Kranz",1994,"Otters Increasing - Threats Increasing","Austria","Europe & Central Asia","","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"11","SCC","",2009,"Distribution, natural history, and conservation of the Patagonian Weasel Lyncodon patagonicus","Argentina","Latin America & Caribbean","Latin America","Lyncodon patagonicus","","","","","","Livestock farming & ranching","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","Agriculture & aquaculture","Biological resource use","","",""
"12","Journal Article","N. Reid; G. J. Wilson; W. I. Montgomery; R. A. McDonald",2012,"Changes in the prevalence of badger persecution in Northern Ireland","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Habitat shifting & alteration","","","","","","Agriculture & aquaculture","Climate change & severe weather","","",""
"13","Otter Bulletin article","James Butler",1993,"Resource Use within the Crab-Eating Guild in Upper Kairezi River, Zimbabwe: Proposed Project","Zimbabwe","Sub-Saharan Africa","","Aonyx capensis","","","","","","Unspecified","","","Unspecified","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","Agriculture & aquaculture","Human intrusions & disturbance","Biological resource use","",""
"14","Otter Bulletin article","",2016,"First Systematic Survey for Otter (Lutra lutra) in Ladakh, Indian Trans Himalayas","India","South Asia","","Lutra lutra","","","","","","Livestock farming & ranching","","","Not specified","","","","","","Agriculture & aquaculture","Human intrusions & disturbance","","",""
"15","Book","J. G. Howard; P. Marinari; D. E. Wildt",2003,"Integration of assisted reproductive technology in the recovery of the black-footed ferret (Mustela nigripes)","USA","North America","North America","Mustela nigripes","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Invasive non-native/alien species/diseases","","","","","","Agriculture & aquaculture","Invasive & other problematic species, genes & diseases","Other threats","",""
"16","Journal Article","M. Salek; N. Spassov; M. Andera; K. Enzinger; B. Ottlecz; Z. Hegyeli",2013,"Population status, habitat associations, and distribution of the steppe polecat Mustela eversmanii in Europe","Europe","Europe & Central Asia","Europe & Central Asia","Mustela eversmannii","","","","","","Annual & perennial non-timber crops","Livestock farming & ranching","","Other ecosystem modifications","Dams & water management/use","","","","","Agriculture & aquaculture","Natural system modifications","Other threats","",""
"17","Journal Article","M. A. Sepulveda; J. L. Bartheld; R. Monsalve; V. Gomez; G. Medina-Vogel",2007,"Habitat use and spatial behaviour of the endangered Southern river otter (Lontra provocax) in riparian habitats of Chile: Conservation implications","Chile","Latin America & Caribbean","Latin America","Lontra provocax","","","","","","Livestock farming & ranching","","","Dams & water management/use","","","","","","Agriculture & aquaculture","Natural system modifications","","",""
"18","Journal Article","R. Mirzaei; M. Karami; A. D. Kar; A. Abdoli",2009,"HABITAT QUALITY ASSESSMENT FOR THE EURASIAN OTTER (LUTRA LUTRA) ON THE RIVER JAJROOD, IRAN","Iran","Middle East & North Africa","Middle East & North Africa","Lutra lutra","","","","","","Unspecified","","","Unspecified","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Unspecified (habitat destruction)","","Agriculture & aquaculture","Pollution","Biological resource use","Natural system modifications",""
"19","Journal Article","A. Balestrieri; S. Messina; F. Pella; C. Prigioni; N. Saino; M. Fasola",2016,"Eurasian otter Lutra lutra in developing countries: a resurvey of Albania 22 years after the fall of communism","Albania","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Marine & freshwater aquaculture","","","Industrial & military effluents","","Other ecosystem modifications","","","","Agriculture & aquaculture","Pollution","Natural system modifications","",""
"20","Journal Article","M. Marcelli; L. Polednik; K. Polednikova; R. Fusillo",2012,"Land use drivers of species re-expansion: inferring colonization dynamics in Eurasian otters","Czech Republic","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Unspecified (habitat destruction)","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","Agriculture & aquaculture","Pollution","","",""
